Close,Open,High,Low,Adj Close,Volume
0.061384,0.061384,0.0625,0.061384,0.047376,52752000
0.061384,0.061384,0.061942,0.061384,0.047376,44150400
0.059152,0.05971,0.05971,0.059152,0.045653,26678400
0.058594,0.059152,0.059152,0.058594,0.045222,25155200
0.05692,0.057478,0.057478,0.05692,0.04393,35817600
0.05692,0.05692,0.057478,0.05692,0.04393,67625600
0.056362,0.05692,0.05692,0.056362,0.0435,55731200
0.053571,0.054129,0.054129,0.053571,0.041346,58105600
0.051339,0.051897,0.051897,0.051339,0.039623,87696000
0.051339,0.051339,0.051897,0.051339,0.039623,30374400
0.049107,0.049665,0.049665,0.049107,0.0379,164326400
0.050781,0.050781,0.051339,0.050781,0.039192,128419200
0.051897,0.051897,0.052455,0.051897,0.040054,63392000
0.055246,0.055246,0.055804,0.055246,0.042638,114374400
0.055804,0.055804,0.05692,0.055804,0.043069,71120000
0.05692,0.05692,0.057478,0.05692,0.04393,65788800
0.059152,0.059152,0.05971,0.059152,0.045653,77011200
0.05971,0.05971,0.060268,0.05971,0.046084,83776000
0.063616,0.063616,0.064174,0.063616,0.049098,49705600
0.063616,0.063616,0.064174,0.063616,0.049098,71702400
0.064174,0.064174,0.064732,0.064174,0.049529,35212800
0.063058,0.063616,0.063616,0.063058,0.048668,18300800
0.060268,0.060826,0.060826,0.060268,0.046514,56851200
0.060268,0.060268,0.060826,0.060268,0.046514,32323200
0.057478,0.058036,0.058036,0.057478,0.044361,53513600
0.05971,0.05971,0.060268,0.05971,0.046084,61868800
0.060268,0.060268,0.060826,0.060268,0.046514,38617600
0.061942,0.061942,0.0625,0.061942,0.047806,94393600
0.058036,0.058594,0.058594,0.058036,0.044792,89868800
0.057478,0.058036,0.058036,0.057478,0.044361,83865600
0.055246,0.055804,0.055804,0.055246,0.042638,69753600
0.054688,0.055246,0.055246,0.054688,0.042208,96835200
0.055246,0.055246,0.055804,0.055246,0.042638,56112000
0.058594,0.058594,0.059152,0.058594,0.045222,112246400
0.059152,0.059152,0.05971,0.059152,0.045653,69888000
0.058594,0.059152,0.059152,0.058594,0.045222,30620800
0.058594,0.058594,0.059152,0.058594,0.045222,25961600
0.05971,0.05971,0.060268,0.05971,0.046084,38416000
0.063616,0.063616,0.064732,0.063616,0.049098,47734400
0.063616,0.063616,0.064174,0.063616,0.049098,125059200
0.064174,0.064174,0.064732,0.064174,0.049529,47622400
0.065848,0.065848,0.066406,0.065848,0.050821,54857600
0.068638,0.068638,0.069196,0.068638,0.052974,69686400
0.071987,0.071987,0.072545,0.071987,0.055559,155769600
0.077009,0.077009,0.077567,0.077009,0.059435,357078400
